timestamp,symbol,feature_vector,prediction_probability,actual_outcome,correct
2024-04-25 00:00:00+00:00,NMRUSDT,0.166667;0.072917;0.145833;0.328125;0.708333;0.618056;0.784722;0.937500;0.107639;0.222222;0.456597;0.802083;0.666667;0.552083;0.854167;0.118056;0.204861;0.215278;0.875000;0.131944;0.571181;0.178819;0.184028;0.604167;0.031250;0.451389;0.958333,0.381848,1,0
2024-04-25 00:00:00+00:00,LAZIOUSDT,0.086806;0.923611;0.993056;0.996528;0.777778;0.295139;0.934028;0.909722;0.104167;0.576389;0.456597;0.989583;0.989583;0.982639;0.579861;0.958333;0.892361;0.944444;0.986111;0.989583;0.161458;0.678819;0.118056;0.906250;0.958333;0.993056;0.840278,0.304327,0,1
2024-04-25 00:00:00+00:00,ONTUSDT,0.875000;1.000000;0.020833;0.756944;0.850694;0.694444;0.687500;0.079861;0.958333;0.659722;0.456597;0.822917;0.979167;0.940972;0.111111;0.993056;0.996528;1.000000;0.961806;0.868056;1.000000;0.967014;1.000000;0.288194;0.781250;0.913194;0.284722,0.396453,1,0
2024-04-25 00:00:00+00:00,SANTOSUSDT,0.989583;0.156250;0.996528;0.989583;1.000000;0.072917;0.968750;0.038194;0.975694;0.711806;0.970486;1.000000;0.986111;0.836806;1.000000;0.979167;0.937500;0.951389;0.993056;1.000000;0.571181;0.923611;0.006944;0.972222;0.944444;0.989583;0.871528,0.380203,0,1
2024-04-25 00:00:00+00:00,TFUELUSDT,0.024306;0.989583;0.975694;0.982639;0.611111;0.312500;0.694444;0.489583;0.670139;0.222222;0.456597;0.958333;0.996528;0.986111;0.083333;0.965278;0.934028;0.958333;0.979167;0.930556;0.571181;0.178819;0.059028;0.975694;0.767361;0.996528;0.204861,0.388152,1,0
2024-04-25 00:00:00+00:00,BTTCUSDT,0.010417;0.907986;0.187500;0.666667;0.500000;0.093750;0.680556;0.015625;0.994792;0.222222;0.925347;0.937500;0.913194;0.951389;0.340278;0.677083;0.531250;0.812500;0.468750;0.718750;0.571181;0.383681;0.940972;0.562500;0.003472;0.496528;0.017361,0.369225,1,0
2024-04-25 04:00:00+00:00,1INCHUSDT,0.100694;0.211806;0.878472;0.829861;0.812500;0.774306;0.673611;0.795139;0.187500;0.517361;0.204861;0.690972;0.781250;0.684028;0.586806;0.479167;0.309028;0.149306;0.607639;0.760417;0.777778;0.986111;0.204861;0.760417;0.201389;0.628472;0.437500,0.621348,1,1
2024-04-25 04:00:00+00:00,ADXUSDT,0.718750;0.746528;0.312500;0.315972;0.010417;0.003472;0.003472;0.324653;0.055556;0.987847;0.204861;0.038194;0.038194;0.045139;0.340278;0.170139;0.375000;0.388889;0.163194;0.430556;0.182292;0.355903;0.774306;0.104167;0.722222;0.052083;0.586806,0.61862,0,0
2024-04-25 04:00:00+00:00,PORTOUSDT,0.965278;0.027778;0.020833;0.975694;0.871528;0.729167;0.947917;0.835069;0.156250;0.486111;0.760417;0.920139;0.888889;0.815972;0.895833;0.006944;0.107639;0.032986;0.930556;0.899306;0.048611;0.055556;0.614583;0.038194;0.947917;0.902778;0.805556,0.395729,1,0
2024-04-25 04:00:00+00:00,KAVAUSDT,0.065972;0.781250;0.534722;0.718750;0.229167;0.565972;0.010417;0.819444;0.055556;0.694444;0.204861;0.281250;0.083333;0.149306;0.628472;0.607639;0.545139;0.135417;0.093750;0.538194;0.777778;0.355903;0.326389;0.204861;0.388889;0.065972;0.531250,0.600612,0,0
2024-04-25 04:00:00+00:00,SCUSDT,1.000000;0.979167;0.750000;0.892361;0.940972;0.986111;0.861111;0.940972;0.131944;0.180556;0.760417;0.972222;0.909722;0.805556;0.975694;0.982639;0.982639;0.994792;0.885417;0.951389;0.777778;0.170139;0.934028;0.149306;0.965278;0.958333;0.121528,0.393641,1,0
2024-04-25 04:00:00+00:00,WOOUSDT,0.697917;0.902778;0.975694;0.840278;0.454861;0.465278;0.354167;0.350694;0.940972;0.190972;0.760417;0.899306;0.895833;0.861111;0.819444;0.892361;0.819444;0.871528;0.809028;0.614583;0.777778;0.687500;0.583333;0.951389;0.562500;0.854167;0.315972,0.364797,0,1
2024-04-25 04:00:00+00:00,WIFUSDT,0.993056;0.861111;0.951389;0.027778;0.826389;0.715278;0.687500;0.958333;0.152778;0.079861;0.760417;0.951389;0.916667;0.961806;0.677083;0.947917;0.947917;0.923611;0.767361;0.024306;0.942708;0.991319;0.031250;0.850694;0.406250;0.819444;0.208333,0.345233,0,1
2024-04-25 04:00:00+00:00,AEVOUSDT,0.972222;0.902778;0.861111;0.104167;0.479167;0.378472;0.434028;0.857639;0.222222;0.326389;0.760417;0.822917;0.791667;0.812500;0.687500;0.927083;0.940972;0.934028;0.465278;0.795139;0.887153;0.831597;0.409722;0.052083;0.798611;0.479167;0.343750,0.381176,0,1
2024-04-25 04:00:00+00:00,ASRUSDT,0.857639;0.982639;0.718750;0.982639;0.968750;0.809028;0.958333;0.256944;0.420139;0.906250;0.760417;0.954861;0.934028;0.909722;0.940972;0.975694;0.989583;0.994792;0.892361;0.982639;0.777778;0.564236;0.979167;0.989583;0.954861;0.916667;0.857639,0.398664,0,1
2024-04-25 04:00:00+00:00,PEPEUSDT,0.989583;0.961806;0.972222;0.423611;0.625000;0.694444;0.635417;0.725694;0.670139;0.079861;0.760417;0.895833;0.940972;0.954861;0.461806;0.951389;0.934028;0.927083;0.750000;0.822917;0.635417;0.447917;0.909722;0.559028;0.781250;0.927083;0.003472,0.384869,0,1
